aircraft,model,manufacturer
Airbus,A300,Airbus
Airbus,A310,Airbus
Airbus,A318,Airbus
Airbus,A319,Airbus
Airbus,A320,Airbus
Airbus,A321,Airbus
Airbus,A330,Airbus
Airbus,A340,Airbus
Airbus,A350,Airbus
Airbus,A380,Airbus
Boeing,717,Boeing
Boeing,757,Boeing
Boeing,767,Boeing
Boeing,777,Boeing
Boeing,787,Boeing
Bombardier,CRJ-100,Bombardier
Bombardier,CRJ-200,Bombardier
Bombardier,CRJ-700,Bombardier
Bombardier,CRJ-900,Bombardier
Embraer,170,Embraer
Embraer,175,Embraer
Embraer,190,Embraer
Embraer,195,Embraer
